RT @dw_amharic: የኦሮሞ መብት ተሟጋቹ ጃዋር መሀመድን በመቃወም ዛሬ በጀርመን ኑርንበርግ ከተማ አደባባይ የወጡት ኢትዮጵያውያን በቅርቡ በሀገሪቱ ለሞቱት 86 ሰዎችም የሻማ ማብራት ስነ ስርዓት አድርገዋል። ጃዋርም…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
RT @tesfanews: ኣብ ኤርትራ ንሃገርካ ምግልጋል ናብ ባህሊ ስለ ዝተቐየረ፡ ኣብ ደገ ዘሎ ንሃገር የገልግል፥ ኣብ ውሽጢ ዘሎ ንሃገር ይብጆ። ንሃገር ምግልጋል፡ ስልጣን ኣይፈሊ፥ መንነት ኣይፈሊ፡ ዕድመ ኣይፈሊ። #E…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
RT @tiletsige27: ለማ መገርሣ ተደመረ አልተደመረ፣ ብልፅግና ፓርቲ እውን ሆነ አልሆነ፣ አብይና ለማ ተጣሉ፣ ኦዲፒ ለሁለት ተከፈለች አልተከፈለች የራሳቸው ጉዳይ ነው። እኔን የሚያሳስበኝ በእነዚህ ሰዎች ችግር ሌላ…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
@ZemenuYA መታሰር ሳይሆን መግዛት ነው ያለብህ????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
@WARCRlMESLIVE ባደረካቸው ድርጊቶች ምክንያት ቤተሰቦችዎ ደሙን ያፈሳሉ ፡፡ ለድርጊቶችዎ የዘላለም ሥቃይ ይሰማቸዋል ፡፡ ያፈሰሱ እንባዎች ወደ ደም ይለወጣሉ ፣ የሚሰማቸው ህመ… https://t.co/QZHKfNDMDf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
RT @MemesSpaghetti2: ባደረካቸው ድርጊቶች ምክንያት ቤተሰቦችዎ ደሙን ያፈሳሉ ፡፡ ለድርጊቶችዎ የዘላለም ሥቃይ ይሰማቸዋል ፡፡ ያፈሰሱ እንባዎች ወደ ደም ይለወጣሉ ፣ የሚሰማቸው ህመም ሊቋቋሙት የማይችሉት ይሆና…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
RT @AmbassadorEstif: ኣይረሳዕናዬን!!! ትማሊ ዑሱባት KGB:ደላሎ ሰልፊ ባዓስን: እወ!ኣይረሳዕናዬምን!  “ራስገዝ ኣብ ዉሻጠኢትዮጵያ ተቐቢሎም” ኣብ ሆቴል ደ ኣፍሪቅ ኣዲስ ኣበባ ዚዓረዱ #Eritrea htt…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
@pearperrier ባደረካቸው ድርጊቶች ምክንያት ቤተሰቦችዎ ደሙን ያፈሳሉ ፡፡ ለድርጊቶችዎ የዘላለም ሥቃይ ይሰማቸዋል ፡፡ ያፈሰሱ እንባዎች ወደ ደም ይለወጣሉ ፣ የሚሰማቸው ህመም… https://t.co/qkCnlYVc9v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
በዚህ ሁሉ ግን የሐገሪቱን ከፍተኛ የህዝብ ቁጥር የያዘው አማራው ምን እየሰራ ይሆን?? የኦቦ ለማ እና ዶክተር አብይ አለመግባባት መንስዔ ላይ የእኔ የማጣራት ውጤት (ሙክታሮቪች)… https://t.co/rbqZ9VtYtc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
ጓደኞቼ አይደሉም ትዎነ ውሰ ቅልት አሁን የፍርሃት ጊዜ አይደለም ልዋቸሻይ ንምለ ናእ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
